sample_depth_m,t_obs_s,max_homog_r_T_5C_m,max_homog_r_T_10C_m,max_homog_r_T_15C_m,max_homog_r_T_20C_m,max_homog_r_T_25C_m,max_homog_r_T_30C_m,max_homog_r_T_35C_m
0.0001,60.0,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08
0.0001,600.0,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08
0.0001,3600.0,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08
0.0001,14400.0,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08
0.0001,86400.0,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08
0.0001,604800.0,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08,2.4095820959852592e-08
0.0005,60.0,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08
0.0005,600.0,2.4095820959852592e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08
0.0005,3600.0,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08
0.0005,14400.0,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08
0.0005,86400.0,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08
0.0005,604800.0,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08
0.001,60.0,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08
0.001,600.0,2.4095820959852592e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08
0.001,3600.0,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08
0.001,14400.0,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08
0.001,86400.0,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08
0.001,604800.0,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08
0.002,60.0,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08,3.131629302740652e-08
0.002,600.0,2.4095820959852592e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08
0.002,3600.0,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08
0.002,14400.0,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08
0.002,86400.0,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09
0.002,604800.0,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09
0.01,60.0,5.2896579431334484e-08,5.2896579431334484e-08,4.0700427290375654e-08,4.0700427290375654e-08,4.0700427290375654e-08,4.0700427290375654e-08,4.0700427290375654e-08
0.01,600.0,2.4095820959852592e-08,2.4095820959852592e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08,1.8540144174189158e-08
0.01,3600.0,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08,1.4265417500090148e-08
0.01,14400.0,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08,1.097629740847354e-08
0.01,86400.0,8.445536543077102e-09,8.445536543077102e-09,8.445536543077102e-09,6.49828305903839e-09,6.49828305903839e-09,6.49828305903839e-09,6.49828305903839e-09
0.01,604800.0,5e-09,5e-09,5e-09,5e-09,5e-09,5e-09,5e-09
